id,predicted_price
2591820310,390986.1688
7974200820,953611.633
7701450110,1115373.714
9522300010,2407030.749
9510861140,703984.485
1761300310,252696.6572
7732410120,773645.9165
7010701383,619610.3444
291310170,459944.382
4232901990,562102.8271
6840701125,620960.0285
3971700580,430161.8167
4202400078,248830.4293
6064800090,361788.3809
2626119028,208199.9838
3303980660,1074258.384
862000020,759941.0191
2386000070,947258.6978
1138000450,373479.9035
1775800420,458437.4694
2291401425,419271.4664
2025770560,1018045.32
3525069037,740207.2659
9324800450,626223.9351
8080400136,522835.6285
8651540040,536268.2995
9407001790,238121.866
1773101530,251288.5573
9432900250,340291.4607
1794500695,600170.3307
2220069003,396416.083
923000120,501876.7746
5728000060,549234.6344
16000200,205251.8501
1926059094,451936.7285
6672900220,1055072.412
3629860060,830706.3849
1822069109,437396.5463
6675500105,366595.5526
249000180,1857357.403
226059065,538891.0898
396100110,286642.9976
9264450460,319119.3353
7853361210,379492.3701
9474700020,257836.7647
421000455,236942.8399
3755200220,424725.7983
7960100075,506500.266
9477100490,392251.3246
9138100350,758824.1881
1624049275,480559.0316
2770606890,506990.5454
1157200189,412042.7651
2770601800,580722.5884
9301300805,522581.2395
2325069032,1221735.812
1021079099,341514.6194
7215730040,767810.5476
1853200080,480092.994
3224600340,673363.6794
3222049120,422422.0614
2113700025,293488.3544
7893207925,212007.089
3586501085,565455.7925
8024200010,412892.5182
7116500705,193570.2818
1598600209,323283.0578
7204200025,989021.8054
4206901505,563690.6161
2937300440,896648.874
7205000180,306504.1655
8718500665,362450.6237
5318101765,867496.499
4122700020,1042022.752
8078700020,526281.9574
3303980680,930090.2611
8924100372,1097980.044
2781270210,212190.8929
519000043,570346.8992
3225069301,1504253.935
151000075,667668.505
2297400020,429012.3872
6617500085,707777.2903
104510180,233763.6328
3528900060,961795.1678
3345100286,539495.5208
1226039130,448643.1527
8712100720,795217.3383
3037200010,399613.1991
3626039268,426260.2859
104510230,237308.0533
5112800060,443906.9969
6072400280,647519.9173
5317100570,1258043.609
9528102993,557438.6217
2919201095,505207.0497
6181400920,266651.9526
185000161,236395.8414
8691400010,729074.3494
3345700165,516971.4088
6151800486,236523.8275
4340000080,1240099.129
4136960010,538521.4187
3634100030,351209.361
1624059224,1021946.831
2788400090,245605.688
9828200762,478650.5345
7524400250,587655.73
3528000290,740655.3236
5700003630,2205459.753
2720069019,331717.7872
7227501170,232894.3271
2397101270,633857.5285
6792100090,695425.6876
